Title,Start Date,Audience Score,Critics Score,Audience Sentiment,Critics Sentiment
Pray: The Story of Patrick Peyton,"Streaming Dec 16, 2020",100,100,positive,positive
Truman & Tennessee: An Intimate Conversation,"Streaming Aug 17, 2021",100,91,positive,positive
"Kill Me, Deadly!","Streaming Oct 12, 2016",100,,positive,
Rebels on Pointe,"Streaming Feb 16, 2018",100,100,positive,positive
Rapid Response,"Streaming Dec 12, 2019",100,67,positive,positive
The Departure,"Streaming Jan 9, 2018",100,100,positive,positive
The Samuel Project,"Streaming Dec 27, 2019",100,,positive,
The Advocates,"Streaming Dec 6, 2018",100,,positive,
In Balanchine's Classroom,"Streaming Nov 16, 2021",100,89,positive,positive
To Be of Service,"Streaming Nov 11, 2019",100,,positive,
An L.A. Minute,"Streaming Jul 28, 2023",100,22,positive,negative
Mad Props,"Streaming Mar 26, 2024",100,100,positive,positive
They Cloned Tyrone,"Streaming Jul 21, 2023",100,95,positive,positive
The Banker,"Streaming Jan 8, 2020",100,79,positive,positive
Haunt,"Streaming Sep 13, 2019",100,70,positive,positive
Little Monsters,"Streaming Oct 11, 2019",100,79,positive,positive
Son of Monarchs,"Streaming Nov 2, 2021",100,92,positive,positive
The Justice of Bunny King,"Streaming Sep 30, 2022",100,95,positive,positive
Good Night Oppy,"Streaming Nov 23, 2022",100,87,positive,positive
Sea of Shadows,"Streaming Aug 27, 2019",100,94,positive,positive
Assassin 33 A.D.,"Streaming Apr 10, 2020",100,67,positive,positive
Dr. Death: Cutthroat Conman,"Streaming Dec 21, 2023",100,,positive,
Getting Away With Murder(s),"Streaming Jan 27, 2023",100,100,positive,positive
Section 375,"Streaming Nov 11, 2019",100,64,positive,positive
"To Me, the One Who Loved You","Streaming Apr 20, 2023",100,,positive,
God's Not Dead: We the People,"Streaming Nov 22, 2021",100,,positive,
Pianoforte,"Streaming Jan 9, 2024",100,83,positive,positive
Playing With Sharks,"Streaming Jul 23, 2021",100,96,positive,positive
"Sweetie, You Won't Believe It","Streaming Feb 8, 2022",100,88,positive,positive
Timeless Heroes: Indiana Jones and Harrison Ford,"Streaming Dec 1, 2023",100,,positive,
Ghostwritten,"Streaming Feb 9, 2024",100,67,positive,positive
Hudson,"Streaming Sep 21, 2021",100,80,positive,positive
Wild Boys,"Streaming Mar 9, 2023",100,100,positive,positive
The Last Pirate,"Streaming Jun 16, 2023",100,,positive,
This Changes Everything,"Streaming Aug 16, 2019",100,88,positive,positive
Reflect,"Streaming Jan 9, 2024",100,,positive,
A Good Enough Day,"Streaming Feb 13, 2024",100,,positive,
Boy From Nowhere,"Streaming Feb 17, 2023",100,100,positive,positive
Magpie Funeral,"Streaming Aug 1, 2023",100,,positive,
Chick Flick,"Streaming Dec 12, 2023",100,,positive,
Silent as the Grave,"Streaming Jul 16, 2023",100,100,positive,positive
Dreaded Light,"Streaming Aug 12, 2022",100,,positive,
Hayseed,"Streaming Nov 21, 2023",100,,positive,
Split at the Root,"Streaming Mar 3, 2023",100,75,positive,positive
Anthony,"Streaming Oct 8, 2020",100,100,positive,positive
Hollywood Dreams & Nightmares: The Robert Englund Story,"Streaming Jun 6, 2023",100,88,positive,positive
Broken City,"Streaming Dec 15, 2023",100,,positive,
Looking for a Lady with Fangs and a Moustache,"Streaming Apr 9, 2021",100,92,positive,positive
The Light of the Moon,"Streaming Jan 2, 2018",100,97,positive,positive
Skid Row Marathon,"Streaming Nov 17, 2019",100,100,positive,positive
The Legend of the Underground,"Streaming Jun 29, 2021",100,100,positive,positive
Courtney Gets Possessed,"Streaming Nov 3, 2023",100,,positive,
Jacob the Baker,"Streaming Nov 24, 2023",100,,positive,
Mobile Suit Gundam: Cucuruz Doan's Island,"Streaming Apr 27, 2023",100,100,positive,positive
The Riot Act,"Streaming Oct 21, 2019",0,67,negative,positive
Gacy: Serial Killer Next Door,"Streaming Jan 30, 2024",0,,negative,
Skin Walker,"Streaming Aug 2, 2020",0,60,negative,positive
Black Noise,"Streaming Nov 3, 2023",0,0,negative,negative
Last Journey of Paul W.R.,"Streaming Aug 26, 2022",0,,negative,
BEAUTY,"Streaming Jun 29, 2022",0,22,negative,negative
G-Loc,"Streaming Aug 11, 2020",0,,negative,
Breath,"Streaming May 3, 2022",0,,negative,
They're Inside,"Streaming Jul 16, 2019",0,29,negative,negative
Evil Little Things,"Streaming May 12, 2020",0,50,negative,negative
Guns of Eden,"Streaming Dec 6, 2022",0,,negative,
My Best Part,"Streaming Feb 25, 2022",0,88,negative,positive
Dead Reckoning,"Streaming Nov 13, 2020",0,17,negative,negative
Burn It All,"Streaming Feb 19, 2021",0,40,negative,negative
Solitary,"Streaming Sep 24, 2021",0,,negative,
Flytrap,"Streaming Nov 23, 2016",0,,negative,
A Dark Path,"Streaming Sep 15, 2020",0,,negative,
Maximum Impact,"Streaming Oct 2, 2018",0,9,negative,negative
Someone Like You,"Opens Apr 02, 2024",,,,
Monkey Man,"Opens Apr 05, 2024",,93,,positive
The First Omen,"Opens Apr 05, 2024",,,,
The Beast,"Opens Apr 05, 2024",,84,,positive
The Old Oak,"Opens Apr 05, 2024",,77,,positive
Parachute,"Opens Apr 05, 2024",,92,,positive
The Greatest Hits,"Opens Apr 05, 2024",,53,,negative
The People's Joker,"Opens Apr 05, 2024",,100,,positive
Strictly Confidential,"Opens Apr 05, 2024",,,,
Housekeeping for Beginners,"Opens Apr 05, 2024",,100,,positive
A Bit of Light,"Opens Apr 05, 2024",,,,
Epic Tails,"Opens Apr 05, 2024",,40,,negative
Gone With the Wind,"Opened Dec 15, 1939",92,90,positive,positive
Bade Miyan Chote Miyan,"Opens Apr 10, 2024",,,,
Maidaan,"Opens Apr 10, 2024",,,,
Civil War,"Opens Apr 12, 2024",,92,,positive
Sting,"Opens Apr 12, 2024",,,,
Don't Tell Mom the Babysitter's Dead,"Opens Apr 12, 2024",,,,
Arcadian,"Opens Apr 12, 2024",,91,,positive
The Absence of Eden,"Opens Apr 12, 2024",,,,
Sweet Dreams,"Opens Apr 12, 2024",,,,
"LaRoy, Texas","Opens Apr 12, 2024",,100,,positive
Omen,"Opens Apr 12, 2024",,85,,positive
Damaged,"Opens Apr 12, 2024",,,,
In Flames,"Opens Apr 12, 2024",,93,,positive
Sweet Dreams,"Opens Apr 12, 2024",,100,,positive
Lost Angel: The Genius of Judee Sill,"Opens Apr 12, 2024",,,,
The Ministry of Ungentlemanly Warfare,"Opens Apr 19, 2024",,,,
Abigail,"Opens Apr 19, 2024",,,,
Sasquatch Sunset,"Opens Apr 19, 2024",,80,,positive
The Three Musketeers: Part II - Milady,"Opens Apr 19, 2024",,91,,positive
Spy x Family Code: White,"Opens Apr 19, 2024",,,,
Blood for Dust,"Opens Apr 19, 2024",,85,,positive
Stress Positions,"Opens Apr 19, 2024",,73,,positive
Hard Miles,"Opens Apr 19, 2024",,,,
We Grown Now,"Opens Apr 19, 2024",,91,,positive
Little Empty Boxes,"Opens Apr 19, 2024",,,,
Photographic Justice: The Corky Lee Story,"Opens Apr 19, 2024",,,,
Challengers,"Opens Apr 26, 2024",,,,
Unsung Hero,"Opens Apr 26, 2024",,,,
Boy Kills World,"Opens Apr 26, 2024",,71,,positive
Nowhere Special,"Opens Apr 26, 2024",,100,,positive
Humane,"Opens Apr 26, 2024",,,,
The Feeling That the Time for Doing Something Has Passed,"Opens Apr 26, 2024",,100,,positive
Breathe,"Opens Apr 26, 2024",,,,
Cash Out,"Opens Apr 26, 2024",,,,
Cinderella's Revenge,"Opens Apr 26, 2024",,,,
Uncropped,"Opens Apr 26, 2024",,,,
East Bay,"Opens Apr 26, 2024",,,,
Lyd,"Opens Apr 26, 2024",,,,
The Fall Guy,"Opens May 03, 2024",,89,,positive
Star Wars: Episode I - The Phantom Menace,"Opened May 19, 1999",59,52,negative,negative
Tarot,"Opens May 03, 2024",,,,
I Saw the TV Glow,"Opens May 03, 2024",,90,,positive
Evil Does Not Exist,"Opens May 03, 2024",,93,,positive
Unfrosted,"Opens May 03, 2024",,,,
Wildcat,"Opens May 03, 2024",,60,,positive
Slow,"Opens May 03, 2024",,96,,positive
Mars Express,"Opens May 03, 2024",,,,
Kingdom of the Planet of the Apes,"Opens May 10, 2024",,,,
Force of Nature: The Dry 2,"Opens May 10, 2024",,44,,negative
IF,"Opens May 17, 2024",,,,
Back to Black,"Opens May 17, 2024",,,,
The Strangers: Chapter 1,"Opens May 17, 2024",,,,
Taking Venice,"Opens May 17, 2024",,,,
North by Northwest,"Opened Jul 17, 1959",94,97,positive,positive
Castle in the Sky,"Opened Apr 01, 1989",91,96,positive,positive
Furiosa: A Mad Max Saga,"Opens May 24, 2024",,,,
The Garfield Movie,"Opens May 24, 2024",,,,
Sight,"Opens May 24, 2024",,,,
In A Violent Nature,"Opens May 31, 2024",,93,,positive
The Dead Don't Hurt,"Opens May 31, 2024",,85,,positive
Ezra,"Opens May 31, 2024",,73,,positive
What You Wish For,"Opens May 31, 2024",,86,,positive
The Crow,"Opens Jun 07, 2024",,,,
Bad Boys: Ride or Die,"Opens Jun 07, 2024",,,,
Someday We'll Tell Each Other Everything,"Opens Jun 07, 2024",,42,,negative
The Secret World of Arrietty,"Opened Feb 17, 2012",85,94,positive,positive
Inside Out 2,"Opens Jun 14, 2024",,,,
The Watchers,"Opens Jun 14, 2024",,,,
The Bikeriders,"Opens Jun 21, 2024",,83,,positive
Kinds of Kindness,"Opens Jun 21, 2024",,,,
Thelma,"Opens Jun 21, 2024",,98,,positive
A Quiet Place: Day One,"Opens Jun 28, 2024",,,,
Horizon: An American Saga - Chapter 1,"Opens Jun 28, 2024",,,,
Despicable Me 4,"Opens Jul 03, 2024",,,,
